"mol","NAME_","available","H_acceptor","H_donor","B_rotN","N_O","logP","logD","logSw","PSA"
COc1cc(cc(c1OC)OC)C1C2=C(CCCC2=O)Nc2c1c(n(c1ccccc1)n2)O,6882-0482,5,6,2,6,8,3.79,2.48,-3.31,94.84
COc1cc2C(N=C(NC(c3ccccc3)=O)Nc2cc1OC)=O,Y020-0593,38,7,2,3,7,2.11,2.62,-0.1652,89.02
COc1ccc(CCNC(CCC(n2c3cc(ccc3cn2)[Cl])=O)=O)cc1OC,E002-0834,99,6,1,10,7,3.42,1.48,-2.35,82.45
COc1ccc(CCNC(CCCCCN2C(=Nc3cc4c(cc3C2=O)OCO4)SCC(N)=O)=O)cc1OC,K284-5819,87,9,3,15,11,3.27,0.44,-3.64,141.8
COc1ccc(CN2C(c3ccc(cc3NC2=O)C(N2CCN(CC2)c2ccc(cc2)OC)=O)=O)cc1,C190-0241,68,5,1,7,9,3.89,3.35,-5.05,91.42
COc1ccc(CNC(CCCN2C(c3cc4c(cco4)n3C=N2)=O)=O)cc1,C795-0649,43,5,1,8,8,1.16,2.03,-0.79,89.07
COc1ccc(c(c1)OC)N1C(c2ccccc2C(C(NCCCN2CCOCC2)=O)=N1)=O,K979-0993,36,7,1,9,9,1.83,1.75,-0.93,92.7
COc1ccc(c(c1)S(N1CCc2ccccc2C1)(=O)=O)OC,C085-0886,1,5,0,4,5,2.57,3.4,-7.91,55.84
COc1ccc(cc1)N1CCN(CC1)C(c1cccc(c1)S(N1CCOCC1)(=O)=O)=O,Y300-1228,27,8,0,5,8,2.4,2.39,-2.71,87.77
COc1ccc(cc1N1C([C@@H]2CCCN2[C@H]1c1ccccc1F)=O)[Cl],C466-0210,12,4,0,3,4,2.97,7.4,-4.2,32.78
COc1ccc(cc1OC(c1ccccc1[Cl])=O)C(N1CCOCC1)=S,8008-1532,26,6,0,6,5,4.44,4.18,-6.2,80.09
COc1ccc(cc1OC)C(CC1(C(N(CC(N)=O)c2ccccc12)=O)O)=O,5056-0011,12,6,3,8,8,0.66,0.19,-1.28,119.2
